Rk,Squad,Home_MP,Home_W,Home_D,Home_L,Home_GF,Home_GA,Home_GD,Home_Pts,Home_Pts/MP,Home_xG,Home_xGA,Home_xGD,Home_xGD/90,Away_MP,Away_W,Away_D,Away_L,Away_GF,Away_GA,Away_GD,Away_Pts,Away_Pts/MP,Away_xG,Away_xGA,Away_xGD,Away_xGD/90
1,Liverpool,19,14,4,1,42,16,26,46,2.42,40.4,18.3,22.099999999999998,1.163157894736842,19,11,5,3,44,25,19,38,2.0,41.7,20.2,21.500000000000004,1.1315789473684212
2,Arsenal,19,11,6,2,35,17,18,39,2.05,29.7,14.1,15.6,0.8210526315789474,19,9,8,2,34,17,17,35,1.84,30.3,20.0,10.3,0.5421052631578948
3,Manchester City,19,13,3,3,43,23,20,42,2.21,37.2,22.7,14.500000000000004,0.7631578947368423,19,8,5,6,29,21,8,29,1.53,30.7,25.2,5.5,0.2894736842105263
4,Chelsea,19,12,5,2,35,18,17,41,2.16,37.1,18.9,18.200000000000003,0.9578947368421055,19,8,4,7,29,25,4,28,1.47,30.700000000000003,28.4,2.3000000000000043,0.12105263157894759
5,Newcastle United,19,12,2,5,40,20,20,38,2.0,,,,,19,8,4,7,28,27,1,28,1.47,,,,
6,Aston Villa,19,11,7,1,34,20,14,40,2.11,33.6,18.6,15.0,0.7894736842105263,19,8,2,9,24,31,-7,26,1.37,22.4,31.4,-9.0,-0.47368421052631576
7,Nottingham Forest,19,9,5,5,26,16,10,32,1.68,,,,,19,10,3,6,32,30,2,33,1.74,,,,
8,Brighton,19,8,8,3,30,26,4,32,1.68,30.5,24.6,5.899999999999999,0.3105263157894736,19,8,5,6,36,33,3,29,1.53,28.0,29.9,-1.8999999999999986,-0.09999999999999992
9,Bournemouth,19,8,4,7,23,16,7,28,1.47,31.1,22.4,8.700000000000003,0.4578947368421054,19,7,7,5,35,30,5,28,1.47,32.7,26.3,6.400000000000002,0.336842105263158
10,Brentford,19,9,4,6,40,35,5,31,1.63,35.1,28.3,6.800000000000001,0.3578947368421053,19,7,4,8,26,22,4,25,1.32,23.9,27.2,-3.3000000000000007,-0.17368421052631583
11,Fulham,19,7,5,7,27,30,-3,26,1.37,22.2,22.8,-0.6000000000000014,-0.03157894736842113,19,8,4,7,27,24,3,28,1.47,26.9,24.400000000000002,2.4999999999999964,0.13157894736842088
12,Crystal Palace,19,6,7,6,24,26,-2,25,1.32,30.6,22.0,8.600000000000001,0.4526315789473685,19,7,7,5,27,25,2,28,1.47,29.8,27.2,2.6000000000000014,0.13684210526315796
13,Everton,19,5,9,5,26,23,3,24,1.26,23.1,22.8,0.3000000000000007,0.015789473684210565,19,6,6,7,16,21,-5,24,1.26,18.9,23.5,-4.600000000000001,-0.24210526315789482
14,West Ham United,19,5,5,9,23,34,-11,20,1.05,,,,,19,6,5,8,23,28,-5,23,1.21,,,,
15,Manchester Utd,19,7,3,9,23,28,-5,24,1.26,30.0,25.8,4.199999999999999,0.22105263157894733,19,4,6,9,21,26,-5,18,0.95,22.5,28.0,-5.5,-0.2894736842105263
16,Wolves,19,6,3,10,27,32,-5,21,1.11,23.4,28.8,-5.400000000000002,-0.2842105263157896,19,6,3,10,27,37,-10,21,1.11,20.2,29.0,-8.8,-0.46315789473684216
17,Tottenham Hotspur,19,6,3,10,35,35,0,21,1.11,,,,,19,5,2,12,29,30,-1,17,0.89,,,,
18,Leicester City,19,4,3,12,15,34,-19,15,0.79,16.9,32.3,-15.399999999999999,-0.8105263157894737,19,2,4,13,18,46,-28,10,0.53,15.8,39.6,-23.8,-1.2526315789473685
19,Ipswich Town,19,1,4,14,14,44,-30,7,0.37,16.8,33.0,-16.2,-0.8526315789473684,19,3,6,10,22,38,-16,15,0.79,17.5,39.4,-21.9,-1.1526315789473685
20,Southampton,19,1,3,15,13,47,-34,6,0.32,17.1,46.3,-29.199999999999996,-1.5368421052631576,19,1,3,15,13,39,-26,6,0.32,15.4,38.699999999999996,-23.299999999999997,-1.226315789473684
