Squad,# Pl,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_PK,Standard_PKatt
vs Arsenal,25,38.0,34,359,117,32.6,9.45,3.08,0.09,0.26,3,3
vs Aston Villa,28,38.0,51,460,153,33.3,12.11,4.03,0.11,0.32,2,3
vs Bournemouth,29,38.0,46,483,168,34.8,12.71,4.42,0.09,0.25,4,4
vs Brentford,28,38.0,54,646,206,31.9,17.0,5.42,0.08,0.26,1,1
vs Brighton,32,38.0,57,418,138,33.0,11.0,3.63,0.11,0.35,9,9
vs Chelsea,29,38.0,43,392,149,38.0,10.32,3.92,0.1,0.26,5,6
vs Crystal Palace,29,38.0,48,481,148,30.8,12.66,3.89,0.1,0.32,1,2
vs Everton,26,38.0,44,478,161,33.7,12.58,4.24,0.09,0.27,0,2
vs Fulham,26,38.0,52,429,155,36.1,11.29,4.08,0.11,0.32,3,4
vs Ipswich Town,32,38.0,80,601,204,33.9,15.82,5.37,0.12,0.36,6,6
vs Leicester City,32,38.0,77,639,205,32.1,16.82,5.39,0.12,0.36,3,4
vs Liverpool,24,38.0,39,385,136,35.3,10.13,3.58,0.1,0.28,1,2
vs Manchester City,30,38.0,42,351,124,35.3,9.24,3.26,0.11,0.31,4,4
vs Manchester Utd,31,38.0,52,411,145,35.3,10.82,3.82,0.12,0.34,3,4
vs Newcastle United,24,38.0,45,471,159,33.8,12.39,4.18,0.09,0.28,1,2
vs Nottingham Forest,23,38.0,46,528,162,30.7,13.89,4.26,0.08,0.27,3,3
vs Southampton,36,38.0,86,672,236,35.1,17.68,6.21,0.12,0.33,7,9
vs Tottenham Hotspur,31,38.0,61,519,177,34.1,13.66,4.66,0.11,0.33,3,3
vs West Ham United,27,38.0,59,580,183,31.6,15.26,4.82,0.1,0.31,3,3
vs Wolves,32,38.0,66,464,159,34.3,12.21,4.18,0.13,0.37,7,9
