Squad,# Pl,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_PK,Standard_PKatt
Arsenal,25,38.0,67,544,178,32.7,14.32,4.68,0.12,0.37,2,2
Aston Villa,28,38.0,56,478,159,33.3,12.58,4.18,0.11,0.33,3,6
Bournemouth,29,38.0,57,574,192,33.4,15.11,5.05,0.09,0.27,6,7
Brentford,28,38.0,65,434,173,39.9,11.42,4.55,0.14,0.35,5,6
Brighton,32,38.0,64,526,183,34.8,13.84,4.82,0.11,0.31,7,7
Chelsea,29,38.0,61,590,203,34.4,15.53,5.34,0.1,0.28,4,5
Crystal Palace,29,38.0,49,512,175,34.2,13.47,4.61,0.09,0.26,3,4
Everton,26,38.0,39,404,139,34.4,10.63,3.66,0.09,0.27,2,2
Fulham,26,38.0,53,516,167,32.4,13.58,4.39,0.1,0.3,3,4
Ipswich Town,32,38.0,35,374,120,32.1,9.84,3.16,0.09,0.28,2,2
Leicester City,32,38.0,33,332,105,31.6,8.74,2.76,0.09,0.3,2,3
Liverpool,24,38.0,85,639,215,33.6,16.82,5.66,0.12,0.35,9,9
Manchester City,30,38.0,71,603,208,34.5,15.87,5.47,0.11,0.33,3,4
Manchester Utd,31,38.0,42,524,168,32.1,13.79,4.42,0.07,0.23,4,4
Newcastle United,24,38.0,66,519,163,31.4,13.66,4.29,0.12,0.37,5,6
Nottingham Forest,23,38.0,57,460,162,35.2,12.11,4.26,0.12,0.33,3,3
Southampton,36,38.0,25,341,106,31.1,8.97,2.79,0.07,0.24,0,2
Tottenham Hotspur,31,38.0,61,493,177,35.9,12.97,4.66,0.12,0.33,3,4
West Ham United,27,38.0,43,473,137,29.0,12.45,3.61,0.08,0.29,3,3
Wolves,32,38.0,53,431,155,36.0,11.34,4.08,0.12,0.34,0,0
