Squad,# Pl,Age,Poss,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK
vs Arsenal,25,26.1,43.1,38,418,3420,38.0,34,24,58,31,3,3,83,2,0.89,0.63,1.53,0.82,1.45
vs Aston Villa,28,26.3,49.5,38,418,3420,38.0,51,36,87,49,2,3,104,2,1.34,0.95,2.29,1.29,2.24
vs Bournemouth,29,26.4,51.5,38,418,3420,38.0,46,36,82,42,4,4,94,5,1.21,0.95,2.16,1.11,2.05
vs Brentford,28,26.4,52.1,38,418,3420,38.0,54,42,96,53,1,1,82,3,1.42,1.11,2.53,1.39,2.5
vs Brighton,32,26.2,47.7,38,418,3420,38.0,57,39,96,48,9,9,93,5,1.5,1.03,2.53,1.26,2.29
vs Chelsea,29,26.5,42.9,38,418,3420,38.0,43,33,76,38,5,6,98,2,1.13,0.87,2.0,1.0,1.87
vs Crystal Palace,29,26.1,57.2,38,418,3420,38.0,48,39,87,47,1,2,84,4,1.26,1.03,2.29,1.24,2.26
vs Everton,26,26.2,59.1,38,418,3420,38.0,44,35,79,44,0,2,46,2,1.16,0.92,2.08,1.16,2.08
vs Fulham,26,26.3,47.7,38,418,3420,38.0,52,40,92,49,3,4,67,3,1.37,1.05,2.42,1.29,2.34
vs Ipswich Town,32,26.3,59.4,38,418,3420,38.0,80,55,135,74,6,6,65,2,2.11,1.45,3.55,1.95,3.39
vs Leicester City,32,26.3,54.6,38,418,3420,38.0,77,57,134,74,3,4,58,2,2.03,1.5,3.53,1.95,3.45
vs Liverpool,24,26.1,42.3,38,418,3420,38.0,39,28,67,38,1,2,84,2,1.03,0.74,1.76,1.0,1.74
vs Manchester City,30,26.2,38.7,38,418,3420,38.0,42,32,74,38,4,4,88,2,1.11,0.84,1.95,1.0,1.84
vs Manchester Utd,31,26.4,46.5,38,418,3420,38.0,52,36,88,49,3,4,71,3,1.37,0.95,2.32,1.29,2.24
vs Newcastle United,24,26.3,48.7,38,418,3420,38.0,45,41,86,44,1,2,97,3,1.18,1.08,2.26,1.16,2.24
vs Nottingham Forest,23,26.2,58.8,38,418,3420,38.0,46,35,81,43,3,3,104,2,1.21,0.92,2.13,1.13,2.05
vs Southampton,36,26.2,51.5,38,418,3420,38.0,86,61,147,79,7,9,54,1,2.26,1.61,3.87,2.08,3.68
vs Tottenham Hotspur,31,26.2,45.3,38,418,3420,38.0,61,43,104,58,3,3,85,3,1.61,1.13,2.74,1.53,2.66
vs West Ham United,27,26.1,51.6,38,418,3420,38.0,59,45,104,56,3,3,56,1,1.55,1.18,2.74,1.47,2.66
vs Wolves,32,26.2,51.9,38,418,3420,38.0,66,47,113,59,7,9,85,3,1.74,1.24,2.97,1.55,2.79
